Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,CapEx / OpEx,2024 Current Forecast,2025 Agreed Budget
IS Corporate - Corporate Affairs (65180),Partner Relationship Management - SaaS,,,Inova Software Inc (now Inpart),Op Ex,56500.0,80800.0
IS InfoSec & EA - IAM (65190),Current contract for 4600 licenses runs until Nov 2024. Estimating for 6000 licenses for 2023. Cost: 5.90 per user per month,,Duo Security - Cisco,Evotek,Op Ex,350360.97,420000.0
IS ED&EUS - End User Services (65140),Adobe - Enterprise Software Licenses Maintenance,,,"CDW Direct, LLC",Op Ex,141342.689709,124999.92
IS R&D – Global Pharmacovigilance & Labeling (65170),"Argus ICSR Annual Maintenance and Support for EXISTING CASE LICENSES (18k+3k+14k+3k+2k) to support ICSR management in Argus- Contract # 
21096174, 6549315, 21033513, 21033508

Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.","Argus ICSR Annual Maintenance and Support for EXISTING CASE LICENSES (18k+3k+14k+3k+2k) to support ICSR management in Argus- Contract # 
21096174, 6549315, 21033513, 21033508

Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.","Argus

Argus, PVI",Oracle America Inc,Op Ex,851021.38,970337.666666667
ERP Project Harmony (66100),AX Dynamics Annual License Maintenance Fees,,,Codec-dss Limited,Op Ex,20968.1,21000.0
IS ED&EUS - End User Services (65140),Bomgar Remote Control/LiveChat Cloud Software Subscription,Bomgar Remote Control/LiveChat Cloud Software Subscription,Services,BeyondTrust,Op Ex,19583.28,26000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),"Brightcove, Video Hosting",,,Brightcove,Op Ex,30000.0,38000.0
IS ED&EUS - End User Services (65140),"Printing Services - NA (PAL PHI)
Jazz REMIX",,,Canon Financial Services,Op Ex,22735.56,63192.0
IS Global Infrastructure – Network (65150),Network maintenance Cisco SmartNet (Jazz),Network -  Network maintenance Cisco SmartNet,Cisco,Evotek,Op Ex,15000.0,105000.0
IS R&D – Data Sciences (65170),"Clnical/Biostatistics Annual License Fee: Cytel - East, STATXact","Clnical/Biostatistics Annual License Fee: Cytel - East, STATXact",EAST,Cytel,Op Ex,169710.0,218010.0
IS Corporate - Legal (65180),Contract Life Cycle Mgmt System Implementation - SaaS Fee,,,Apttus Corporation,Op Ex,144731.19,84000.0
IS Enterprise Data & Analytics (65115),CopyStorm - Yearly Licenses,CopyStorm - Yearly Licenses,CopyStorm,"Capstorm, LLC",Op Ex,8379.0,8379.0
IS Commercial - Omnichannel (65160),"CSC & Network Solutions,Internet Domain Names Registrars (Combined)",Web domain Registration,CSC,CSC Corporation Service Company,Op Ex,299373.94,374000.0
IS Enterprise Data & Analytics (65115),Data and Report Operations and Support - Offshore,Data and Report Operations and Support - Offshore,Offshore Data Ops Support,Intelliswift Software Inc.,Op Ex,2158944.0,2309760.0
IS Corporate - Other/IS (65180),Docusign SAAS Fee,,,DocuSign Inc,Op Ex,277366.65,370128.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Dublin Office Landlines and Athlone Internet from Eir,,Telephony,Eircom Ltd,Op Ex,15277.07,32500.0
IS ED&EUS - End User Services (65140),Endpoint Backup (Carbonite),,,Groupware Technology Inc,Op Ex,29691.0,24000.0
IS R&D – Global Clinical Development Operations (65170),"Enhance Global CTD Authoring Standards and Templates - 'Starting Point"" Support Maintenance","Enhance Global CTD Authoring Standards and Templates - 'Starting Point"" Support Maintenance",Starting Point,Accenture LLP,Op Ex,10500.0,18000.0
