StandardOrder,RunOrder,Operator,Part,Measurement
75,1,C,E,14.29
47,2,B,F,14.28
59,3,B,J,14.3
61,4,A,A,14.16
16,5,A,F,13.91
21,6,C,G,14.14
22,7,A,H,14.14
4,8,A,B,14.24
68,9,B,C,13.94
74,10,B,E,13.86
71,11,B,D,14.3
30,12,C,J,14.28
49,13,A,G,14.1
5,14,B,B,14.12
80,15,B,G,14.12
18,16,C,F,14.3
20,17,B,G,14.23
3,18,C,A,13.8
24,19,C,H,14.15
53,20,B,H,13.9
56,21,B,I,14.04
83,22,B,H,14.25
28,23,A,J,14.24
36,24,C,B,14.21
43,25,A,E,13.86
78,26,C,F,14.03
57,27,C,I,13.79
12,28,C,D,14
79,29,A,G,14.35
15,30,C,E,13.72
33,31,C,A,14.01
67,32,A,C,14.26
1,33,A,A,13.76
25,34,A,I,13.9
77,35,B,F,14.29
40,36,A,D,14.31
37,37,A,C,14.23
76,38,A,F,14.11
48,39,C,F,14.3
85,40,A,I,14.09
6,41,C,B,14.3
54,42,C,H,14.28
87,43,C,I,13.89
55,44,A,I,14.3
58,45,A,J,14.14
89,46,B,J,13.8
10,47,A,D,14.24
63,48,C,A,14.18
13,49,A,E,14.11
2,50,B,A,14.1
81,51,C,G,14.24
84,52,C,H,13.76
35,53,B,B,13.8
88,54,A,J,14.35
66,55,C,B,14.3
62,56,B,A,14.1
46,57,A,F,14.15
86,58,B,I,14.09
39,59,C,C,14.11
70,60,A,D,14.35
73,61,A,E,14.05
8,62,B,C,13.84
65,63,B,B,14.1
34,64,A,B,14.24
69,65,C,C,13.84
19,66,A,G,14.31
31,67,A,A,14.11
90,68,C,J,13.71
51,69,C,G,14.3
32,70,B,A,14.36
27,71,C,I,14.12
26,72,B,I,14.16
52,73,A,H,14.1
64,74,A,B,13.9
42,75,C,D,14.29
14,76,B,E,14.3
29,77,B,J,14.1
82,78,A,H,14.29
41,79,B,D,13.79
45,80,C,E,14.24
11,81,B,D,14.25
17,82,B,F,14.3
23,83,B,H,14.09
60,84,C,J,14.08
50,85,B,G,14.35
7,86,A,C,14.34
72,87,C,D,14.11
9,88,C,C,13.86
44,89,B,E,13.81
38,90,B,C,14.1
