Department,Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,Entity,Cost Type,GL Code,CapEx / OpEx,Multi-Year Licence?,Renewal Date,Pre-Paid,Classification,2024 Current Forecast,2024 Original Forecast,2024 Agreed Budget,2024 Variance,2023-2024 Difference,Dec 2025 Actuals,Dec 2025 PO Details,2025 Current Forecast,2025 Original Forecast,2025 Agreed Budget,2025 Variance,2024-2025 Difference
BPS Corporate,IS Corporate - Corporate Affairs (65180),Partner Relationship Management - SaaS,,,Inova Software Inc (now Inpart),2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,08/31/23,,Extend,"$56,500","$68,000","$68,000","-$11,500","-$9,500",,,"$80,800","$80,800","$80,800",$0,"$12,800"
IS Infosec,IS InfoSec & EA - IAM (65190),Current contract for 4600 licenses runs until Nov 2024. Estimating for 6000 licenses for 2023. Cost: 5.90 per user per month,,Duo Security - Cisco,Evotek,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,3 Year,11/15/24,True,Extend,"$350,361","$416,422","$416,422","-$66,061","-$74,439",,,"$420,000","$420,000","$420,000",$0,"$3,578"
IS ED&EUS,IS ED&EUS - End User Services (65140),Adobe - Enterprise Software Licenses Maintenance,,,"CDW Direct, LLC",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,04/30/24,True,Extend,"$141,343","$135,000","$135,000","$6,343","-$187,097",,,"$125,000","$125,000","$125,000",$0,"-$10,000"
BPS R&D,IS R&D – Global Pharmacovigilance & Labeling (65170),"Argus ICSR Annual Maintenance and Support for EXISTING CASE LICENSES (21k+14k+3k+2k) to support ICSR management in Argus- Contract # 
21096174, 6549315, 21033513, 21033508

Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.",,"Argus

Argus, PVI",Oracle America Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,02/19/24,True,Extend,"$851,021","$796,460","$943,000","$54,561","$28,953",,,"$970,338","$970,338","$970,338",$0,"$27,338"
ERP,ERP Project Harmony (66100),AX Dynamics Annual License Maintenance Fees,,,Codec-dss Limited,1200 - IRE,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Extend,"$20,968","$20,596","$25,750",$372,"-$4,032",,,"$21,000","$21,000","$21,000",$0,"-$4,750"
IS ED&EUS,IS ED&EUS - End User Services (65140),Bomgar Remote Control/LiveChat Cloud Software Subscription,Bomgar Remote Control/LiveChat Cloud Software Subscription,Services,BeyondTrust,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,06/30/25,True,Extend,"$19,583","$20,000","$36,000",-$417,"-$12,917",,,"$26,000","$26,000","$26,000",$0,"-$10,000"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),"Brightcove, Video Hosting",,,Brightcove,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,09/30/23,,Extend,"$30,000","$30,000","$30,000",$0,"$8,000",,,"$38,000","$38,000","$38,000",$0,"$8,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),"Printing Services - NA (PAL PHI)
Jazz REMIX",,,Canon Financial Services,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Extend,"$22,736","$22,736","$80,000",$0,"-$55,388",,,"$63,192","$63,192","$63,192",$0,"-$16,808"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network maintenance Cisco SmartNet (Jazz),Network -  Network maintenance Cisco SmartNet,Cisco,Evotek,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,09/30/25,True,Extend,"$15,000","$35,000","$225,000","-$20,000","-$225,000",,,"$105,000","$105,000","$105,000",$0,"-$120,000"
BPS R&D,IS R&D – Data Sciences (65170),"Clnical/Biostatistics Annual License Fee: Cytel - East, STATXact",,EAST,Cytel,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/24,True,Extend,"$169,710","$163,680","$163,680","$6,030","$38,921",,,"$218,010","$218,010","$218,010",$0,"$54,330"
