Report Key,Entry Key,Report Name,Report ID,Transaction Date [Old],Transaction Date,Sent for Payment Date,Employee ID,Department Code,Department,Project Code,Legal Entity (Employee profile),Expense Type,Purpose,Vendor,Payment Type,Credit Card Account Key,Last Four Account Digits,Approved Amount (USD),Reporting Currency,Expense Amount (transaction currency),Transaction Currency,Approved Amount,Reimbursement Currency,Account Code 1,HCP Attendee,Exception Text,Month and Year,Cost Centre Lookup,GL Account,,
43725,472371,December Expenses (01/12/2023),5D2851041AC84052B48E,"Nov 25, 2023","Nov 25, 2023","Jan 8, 2024",3870,65180,65180,,1200,Personal Expense,,SumUp   Magico food,Bank of America Corporate Card,4078,2222,0.00,USD,13.8,EUR,0,EUR,,,,Jan-24, IS Corporate,Personal Expense,,
47007,476622,Coupa pay Training & IS xmas,27E0DFB56DE84F8CA5A3,"Nov 29, 2023","Nov 29, 2023","Jan 10, 2024",4584,65130,65130,,1200,Tolls/Road Charges,IS meeting,EUROLINK MOTORWAY M4,Bank of America Corporate Card,1491,9766,3.52,USD,3.2,EUR,3.2,EUR,640800,,,Jan-24, IS Tech Ops and Quality,640800 - Automobile/Tolls/Parking,,
47007,476657,Coupa pay Training & IS xmas,27E0DFB56DE84F8CA5A3,"Nov 29, 2023","Nov 29, 2023","Jan 10, 2024",4584,65130,65130,,1200,Employee Meal - Breakfast,Coupa pay training and IS xmas meal,APPLEGREEN MSA M4 ENFI,Bank of America Corporate Card,1491,9766,7.70,USD,7,EUR,7,EUR,620100,,,Jan-24, IS Tech Ops and Quality,620100 - Employee Meals/Activities,,
43368,477689,November Expenses (01/11/2023),3199DF5A5FEA49C59381,"Nov 30, 2023","Nov 30, 2023","Jan 28, 2024",8107,65180,65180,,1200,Taxi,Travel,SumUp   G cabs courier,Bank of America Corporate Card,3004,8927,8.34,USD,7.6,EUR,7.6,EUR,640800,,,Jan-24, IS Corporate,640800 - Automobile/Tolls/Parking,,
47007,477692,Coupa pay Training & IS xmas,27E0DFB56DE84F8CA5A3,"Nov 30, 2023","Nov 30, 2023","Jan 10, 2024",4584,65130,65130,,1200,Taxi,Coupa pay training and IS xmas meal,UBER    TRIP,Bank of America Corporate Card,1491,9766,17.78,USD,16.2,EUR,16.2,EUR,640800,,,Jan-24, IS Tech Ops and Quality,640800 - Automobile/Tolls/Parking,,
47007,477735,Coupa pay Training & IS xmas,27E0DFB56DE84F8CA5A3,"Nov 30, 2023","Nov 30, 2023","Jan 10, 2024",4584,65130,65130,,1200,Taxi,Coupa pay training and IS xmas meal,UBER    TRIP,Bank of America Corporate Card,1491,9766,17.12,USD,15.6,EUR,15.6,EUR,640800,,,Jan-24, IS Tech Ops and Quality,640800 - Automobile/Tolls/Parking,,
47007,480650,Coupa pay Training & IS xmas,27E0DFB56DE84F8CA5A3,"Dec 1, 2023","Dec 1, 2023","Jan 10, 2024",4584,65130,65130,,1200,Tolls/Road Charges,Coupa pay training and IS xmas meal,EUROLINK MOTORWAY M4,Bank of America Corporate Card,1491,9766,3.49,USD,3.2,EUR,3.2,EUR,640800,,,Jan-24, IS Tech Ops and Quality,640800 - Automobile/Tolls/Parking,,
47006,486460,Lims interface testing for winuv,D649F512E27A46E0941D,"Dec 7, 2023","Dec 7, 2023","Jan 10, 2024",4584,65130,65130,,1200,Business Meal - Lunch,Lims interface testing lunch,SUPERVALU,Bank of America Corporate Card,1491,9766,17.50,USD,16.25,EUR,16.25,EUR,620100,,,Jan-24, IS Tech Ops and Quality,620100 - Employee Meals/Activities,,
44467,488806,End of year expenses,A1ED0E35EB3F47C38D3E,"Dec 5, 2023","Dec 5, 2023","Jan 10, 2024",2585,65140,65140,,1200,Office Equipment/Hardware,laptop repair,FLEXTRONICS,Bank of America Corporate Card,4,990,53.32,USD,49.21,EUR,49.21,EUR,630100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,630100 - Office Supplies,,
44467,488808,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 29, 2023","Oct 29, 2023","Jan 10, 2024",2585,65140,65140,,1200,Taxi,Board meeting Support,HUSSAM SPSV,Bank of America Corporate Card,4,990,95.12,USD,90,EUR,90,EUR,640800,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640800 - Automobile/Tolls/Parking,,
44467,488809,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 26, 2023","Oct 26, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Snacks,Munich site support,Retail in Motion LTD,Bank of America Corporate Card,4,990,10.57,USD,10,EUR,10,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488810,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 26, 2023","Oct 26, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Snacks,Munich site support,Retail in Motion LTD,Bank of America Corporate Card,4,990,10.57,USD,10,EUR,10,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488811,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 25, 2023","Oct 25, 2023","Jan 10, 2024",2585,65140,65140,,1200,Taxi,Munich site support,IsarFunk Taxizentrale,Bank of America Corporate Card,4,990,103.50,USD,97.7,EUR,97.7,EUR,640800,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640800 - Automobile/Tolls/Parking,,
44467,488812,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 25, 2023","Oct 25, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Snacks,Munich site support,TRANSITBAR C4 T1,Bank of America Corporate Card,4,990,12.82,USD,12.1,EUR,12.1,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488813,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 25, 2023","Oct 25, 2023","Jan 10, 2024",2585,65140,65140,,1200,Taxi,Munich site support,FREENOW 9T0RUG-2,Bank of America Corporate Card,4,990,54.42,USD,51.37,EUR,51.37,EUR,640800,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640800 - Automobile/Tolls/Parking,,
44467,488815,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 24, 2023","Oct 24, 2023","Jan 10, 2024",2585,65140,65140,,1200,Taxi,Munich site support,Zettle_ David Richan T,Bank of America Corporate Card,4,990,21.34,USD,20,EUR,20,EUR,640800,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640800 - Automobile/Tolls/Parking,,
