"Date","Month","Manufacturing Defects","Assembly Defects","Summary Details","Defects"
"1/07","J",329.4,295.7,"ManufacturingTotal Year 07",4930.2
"2/07","F",480.6,259.7,"Manufacturing Total Year 08",5891.4
"3/07","M",475.2000000000001,318.6,"Assembly Total Year 07",3258.1
"4/07","A",399.6,287.6,"Assembly Total Year 08",2942.1
"5/07","M",351,285.8,,
"6/07","J",329.4,233.9,,
"7/07","J",486.0000000000001,279,,
"8/07","A",378,284.1,,
"9/07","S",486.0000000000001,242.9,,
"10/07","O",496.8,286.6,,
"11/07","N",329.4,229.4,,
"12/07","D",388.8,254.8,,
"1/08","J",356.4,257.3,,
"2/08","F",442.8,310.8,,
"3/08","M",453.6,213.5,,
"4/08","A",518.4000000000001,284.6,,
"5/08","M",442.8,234.3,,
"6/08","J",356.4,278.4,,
"7/08","J",334.8,239.7,,
"8/08","A",448.2000000000001,253.8,,
"9/08","S",1101.6,214.3,,
"10/08","O",874.8000000000001,264.7,,
"11/08","N",324,192.8,,
"12/08","D",237.6000000000001,197.9,,
