"Date","Day","Birm","Cov","Av","BirmVol","CovVol","VolumeT"
"31-May","Mon",40.4,25.6,33.01000000000001,2401,2520,4921
"1-Jun","Tue",27.4,18.9,23.17,1593,1765,3358
"2-Jun","Wed",37.3,16.6,26.99,1960,1895,3855
"3-Jun","Thu",42,16.4,29.22,2709,1459,4168
"4-Jun","Fri",16.7,11.5,14.12,1345,1036,2381
"7-Jun","Mon",54.8,18.4,36.63,3328,2011,5339
"8-Jun","Tue",42.7,15.2,28.96,2910,1415,4325
"9-Jun","Wed",35.6,17,26.33,2475,1660,4135
"10-Jun","Thu",33.6,17,25.32,2807,1723,4530
"11-Jun","Fri",23,17,20.01,1408,1817,3225
"14-Jun","Mon",54.5,25.8,40.16,3239,2537,5776
"15-Jun","Tue",35.7,16.3,26.03,2485,1868,4353
"16-Jun","Wed",36.7,15.1,25.91,2389,1257,3646
"17-Jun","Thu",48.5,16.3,32.42,3345,1901,5246
"18-Jun","Fri",29.7,15.4,22.59,2128,1479,3607
"21-Jun","Mon",45.4,23.3,34.38,2631,2430,5061
"22-Jun","Tue",34.4,21.6,28.03,2175,2199,4374
"23-Jun","Wed",37.4,19.2,28.32,1914,1976,3890
"24-Jun","Thu",44.7,17.7,31.22,2497,2094,4591
"25-Jun","Fri",30.4,11.6,21.04,1579,1153,2732
"28-Jun","Mon",61.9,20.1,41.04,3562,2145,5707
"29-Jun","Tue",33.9,11.4,22.66,2607,1269,3876
"30-Jun","Wed",31.8,15.7,23.79,2600,1357,3957
"1-Jul","Thu",50.5,15.9,33.21,2871,1581,4452
"2-Jul","Fri",30.3,9.699999999999999,20.01,2337,762,3099
"5-Jul","Mon",48.3,24.4,36.38,3166,2676,5842
"6-Jul","Tue",32.8,17.1,24.99,2441,1841,4282
"7-Jul","Wed",31.8,21.6,26.74,2208,2295,4503
"8-Jul","Thu",33.6,18.4,26.02,2493,1533,4026
"9-Jul","Fri",36.3,9.300000000000001,22.84,2291,867,3158
"12-Jul","Mon",41,29.9,35.48,2177,2811,4988
"13-Jul","Tue",29.5,12,20.77,2152,1125,3277
"14-Jul","Wed",40,13.7,26.88,2458,1479,3937
"15-Jul","Thu",31.3,19.9,25.61,1940,1969,3909
"16-Jul","Fri",26,14.3,20.16,2079,1340,3419
"19-Jul","Mon",46.3,24.4,35.38,3316,2509,5825
"20-Jul","Tue",32.2,20,26.12,2555,1784,4339
"21-Jul","Wed",35.1,14.9,25.01,1590,1634,3224
"22-Jul","Thu",43.9,15.7,29.82,2875,1365,4240
"23-Jul","Fri",16.2,8.300000000000001,12.26,1459,690,2149
"26-Jul","Mon",,,,,,
"27-Jul","Tue",35.4,21.7,28.58,1811,2367,4178
"28-Jul","Wed",27.5,21.6,24.58,1593,2158,3751
"29-Jul","Thu",37.6,17.2,27.41,2730,1450,4180
"30-Jul","Fri",16.4,9.9,13.16,1650,1087,2737
"2-Aug","Mon",52.6,22,37.34,2847,2341,5188
"3-Aug","Tue",40.7,16.9,28.84,2115,1889,4004
"4-Aug","Wed",45.6,22,33.83,2765,2442,5207
"5-Aug","Thu",27.7,16.3,22.01,2059,1564,3623
"6-Aug","Fri",22.9,16.4,19.69,1872,1785,3657
"9-Aug","Mon",54,21.9,37.98,2819,2428,5247
"10-Aug","Tue",33.4,20.7,27.07,2571,1928,4499
"11-Aug","Wed",38.1,19.4,28.76,2250,1878,4128
"12-Aug","Thu",36.2,25.4,30.84,2390,2578,4968
"13-Aug","Fri",25.8,15.4,20.64,2230,1791,4021
"16-Aug","Mon",48,24.4,36.21,2541,2451,4992
"17-Aug","Tue",34.4,18.1,26.29,2281,1785,4066
"18-Aug","Wed",21.8,18.7,20.27,1548,2151,3699
"19-Aug","Thu",37.3,19.7,28.54,2669,2331,5000
"20-Aug","Fri",25.3,11.8,18.58,1699,1068,2767
"23-Aug","Mon",37.8,22.7,30.29,2653,2318,4971
"24-Aug","Tue",29.3,18.4,23.89,1917,1836,3753
"25-Aug","Wed",41.8,16.6,29.21,2477,1537,4014
"26-Aug","Thu",33.4,18.6,26.04,2332,1827,4159
"27-Aug","Fri",28.8,9.4,19.13,1643,701,2344
"30-Aug","Mon",47.3,26.6,36.97,2512,2877,5389
"31-Aug","Tue",31.2,16.8,24.03,1978,1950,3928
"1-Sep","Wed",34.9,15.9,25.42,2403,1622,4025
"2-Sep","Thu",25.5,17.8,21.69,1605,1744,3349
